name,alasan
pisang raja nangka matang,Buah segar
pisang raja nangka mentah,Tepung / bahan mentah
pisang raja sereh (susu),Bumbu / rempah / penyedap
pisang raja uli,Buah segar
pisang rama,Buah segar
pisang rayap matang,Buah segar
pisang santen,Buah segar
pisang siam,Buah segar
pondoh kelapa,Buah segar
rambutan,Buah segar
rambutan aceh,Buah segar
salak,Buah segar
santan (kelapa dan air),Minyak / lemak murni
santan (kelapa saja),Minyak / lemak murni
sawo,Buah segar
sawo bludru,Buah segar
sawo duren,Buah segar
semangka,Buah segar
semangka muda,Buah segar
sirsak,Buah segar
srikaya,Buah segar
sukun,Buah segar
talok / kersen,Buah segar
alpokat,Buah segar
asparagus putih segar,Tepung / bahan mentah
bawang merah,Sayur / daun mentah
bawang putih,Sayur / daun mentah
bayam merah,Sayur / daun mentah
bayam segar,Tepung / bahan mentah
bengkuang,Sayur / daun mentah
bening bayam belu,Nama bukan nama menu
bening selada air and kangkung belu,Nama bukan nama menu
bening selada air belu,Nama bukan nama menu
tekokak,Sayur / daun mentah
terong putih mentah,Tepung / bahan mentah
terong belanda / ungu,Sayur / daun mentah
tumis bayam and sawi belu,Nama bukan nama menu
tomat muda,Sayur / daun mentah
tumis buah pepaya muda belu,Nama bukan nama menu
tumis bayam and sawi and timun belu,Nama bukan nama menu
tumis buah labu waluh belu,Nama bukan nama menu
tumis bayam belu,Nama bukan nama menu
tomat masak,Sayur / daun mentah
tumis pucuk labu waluh belu,Nama bukan nama menu
tumis daun singkong belu,Nama bukan nama menu
tumis kangkung belu,Nama bukan nama menu
tumis selada air belu,Nama bukan nama menu
tumis kacang panjang belu,Nama bukan nama menu
tumis terong belu,Nama bukan nama menu
blusdru,Sayur / daun mentah
uceng,Sayur / daun mentah
waluh kuning mentah,Tepung / bahan mentah
waluh beligo,Sayur / daun mentah
buncis mentah,Tepung / bahan mentah
bunga bawang merah,Sayur / daun mentah
bunga krandan,Sayur / daun mentah
cabe merah,Sayur / daun mentah
cabe rawit,Sayur / daun mentah
cesim,Sayur / daun mentah
curing / kenikir,Sayur / daun mentah
daun bawang,Sayur / daun mentah
daun bawang merah,Sayur / daun mentah
daun beluntas mentah,Tepung / bahan mentah
daun gambas mentah,Tepung / bahan mentah
daun jambu mete muda,Sayur / daun mentah
daun kacang panjang,Sayur / daun mentah
daun katuk mentah,Tepung / bahan mentah
daun kecipir mentah,Tepung / bahan mentah
daun kelor mentah,Tepung / bahan mentah
daun kemangi mentah,Tepung / bahan mentah
daun koro,Sayur / daun mentah
daun labu siam mentah,Tepung / bahan mentah
daun labu waluh mentah,Tepung / bahan mentah
daun lompong,Sayur / daun mentah
daun mangkokan mentah,Tepung / bahan mentah
daun melinjo mentah,Tepung / bahan mentah
daun pepaya,Sayur / daun mentah
daun singgrang,Sayur / daun mentah
daun singkong mentah,Tepung / bahan mentah
daun tales,Sayur / daun mentah
daun tlepok,Sayur / daun mentah
daun ubi jalar,Sayur / daun mentah
gambas / oyong mentah,Tepung / bahan mentah
genjer / bengok,Sayur / daun mentah
gundho,energi menyimpang > 25% dari hitungan makro
jamur coklat mentah,Obat / jamu
jamur kuping segar,Obat / jamu
jamur putih mentah,Obat / jamu
jamur so,Obat / jamu
jantung pisang segar,Tepung / bahan mentah
kangkung,Sayur / daun mentah
kangkung mentah,Tepung / bahan mentah
kembang kool mentah,Tepung / bahan mentah
kembang turi mentah,Tepung / bahan mentah
ketimun mentah,Tepung / bahan mentah
kool merah / putih mentah,Tepung / bahan mentah
krai / mentimun,Sayur / daun mentah
kuah daging ayam belu,Kuah saja / bukan hidangan utuh
kuah oseng bayam belu,Kuah saja / bukan hidangan utuh
kuah sayur kangkung belu,Kuah saja / bukan hidangan utuh
kuah sayur sawi belu,Kuah saja / bukan hidangan utuh
labu air mentah,Tepung / bahan mentah
labu kuning,Sayur / daun mentah
labu siam mentah,Tepung / bahan mentah
lobak mentah,Tepung / bahan mentah
lompong pari mentah,Tepung / bahan mentah
loncang,Sayur / daun mentah
pare pahit mentah,Tepung / bahan mentah
pare ulo mentah,Tepung / bahan mentah
pepes jamur,Obat / jamu
rebung mentah,Tepung / bahan mentah
rebus daun lettuce belu,Nama bukan nama menu
rebus daun singkong belu,Nama bukan nama menu
sambal tomat belu,Nama bukan nama menu
sambal tomato and daging kuda belu,Nama bukan nama menu
santan daun ubu /campur daun pepaya bel,Minyak / lemak murni
sawi hijau,Sayur / daun mentah
sawi putih mentah,Tepung / bahan mentah
sayur asem,nama sudah ada di dataset lama
sayur bayam,energi menyimpang > 25% dari hitungan makro
sayur daun kelor,energi menyimpang > 25% dari hitungan makro
sayur jantung pisang belu,Nama bukan nama menu
sayur katuk,energi menyimpang > 25% dari hitungan makro
sayur nangka belu,Nama bukan nama menu
sayur sop,nama sudah ada di dataset lama
selada air mentah,Tepung / bahan mentah
selada mentah,Tepung / bahan mentah
seledri,Sayur / daun mentah
sup a,energi menyimpang > 25% dari hitungan makro
sup b,energi menyimpang > 25% dari hitungan makro
telur ayam,Daging / ikan mentah (bukan hidangan)
telur ayam bagian kuning,Bahan / topping / bukan hidangan utuh
telur ayam bagian putih,Bahan / topping / bukan hidangan utuh
telur itik bagian putih,Bahan / topping / bukan hidangan utuh
telur ikan,Daging / ikan mentah (bukan hidangan)
telur itik / bebek mentah,Tepung / bahan mentah
telur itik bagian kuning,Bahan / topping / bukan hidangan utuh
telur puyuh,Daging / ikan mentah (bukan hidangan)
telur penyu,Non-halal / satwa liar
telur merpati,Daging / ikan mentah (bukan hidangan)
telur puyuh,Daging / ikan mentah (bukan hidangan)
telur menthok,Daging / ikan mentah (bukan hidangan)
tepung susu,Susu formula / MPASI pabrikan
tepung susu neslac 2,Susu formula / MPASI pabrikan
tepung susu sgm 2,Susu formula / MPASI pabrikan
tepung susu skim,Susu formula / MPASI pabrikan
tepung susu lactona 2,Susu formula / MPASI pabrikan
tepung susu asam,Susu formula / MPASI pabrikan
minuman susu ultra / ultra milk,Minuman
susu kambing,Minuman
susu kental manis,Minuman
susu sapi,Minuman
susu segar,Tepung / bahan mentah
susu skim / tak berlemak cair,Minuman
abon,nama sudah ada di dataset lama
ampal,Daging / ikan mentah (bukan hidangan)
ati ayam,Jeroan / darah
ayam,nama sudah ada di dataset lama
babat,Jeroan / darah
usus menthok,Jeroan / darah
uthi-uthi mentah,Tepung / bahan mentah
usus ayam,Jeroan / darah
usus itik,Jeroan / darah
buras,nama sudah ada di dataset lama
corned beef,nama sudah ada di dataset lama
daging ayam,Daging / ikan mentah (bukan hidangan)
daging ayam bagian kaki,Daging / ikan mentah (bukan hidangan)
daging ayam bagian kepala,Daging / ikan mentah (bukan hidangan)
daging ayam bagian paha,Daging / ikan mentah (bukan hidangan)
daging ayam bagian sayap,Daging / ikan mentah (bukan hidangan)
daging biawak mentah,Tepung / bahan mentah
daging blekok / kuntul,Non-halal / satwa liar
daging burung bagian kepala,Daging / ikan mentah (bukan hidangan)
daging burung mentah,Tepung / bahan mentah
daging domba,Daging / ikan mentah (bukan hidangan)
daging itik bagian kepala,Daging / ikan mentah (bukan hidangan)
daging itik bagian paha,Daging / ikan mentah (bukan hidangan)
daging itik bagian sayap,Daging / ikan mentah (bukan hidangan)
daging itik/bebek,Daging / ikan mentah (bukan hidangan)
daging kambing,Daging / ikan mentah (bukan hidangan)
daging kelelawar,Non-halal / satwa liar
daging kerbau,Daging / ikan mentah (bukan hidangan)
daging menthok,Daging / ikan mentah (bukan hidangan)
daging menthok bagian kaki,Daging / ikan mentah (bukan hidangan)
daging menthok bagian kepala,Daging / ikan mentah (bukan hidangan)
daging menthok bagian sayap,Daging / ikan mentah (bukan hidangan)
daging merpati,Daging / ikan mentah (bukan hidangan)
daging puyuh,Daging / ikan mentah (bukan hidangan)
daging sapi,Daging / ikan mentah (bukan hidangan)
daging tupai,Non-halal / satwa liar
dendeng sapi,massa makro > 100 g per 100 g
dideh ayam,Jeroan / darah
dideh itik,Jeroan / darah
dideh kambing,Jeroan / darah
dideh kerbau,Jeroan / darah
dideh sapi,Jeroan / darah
hati ayam,Jeroan / darah
hati biawak,Jeroan / darah
hati burung,Jeroan / darah
hati itik,Jeroan / darah
hati itik bacem,Jeroan / darah
hati kerbau,Jeroan / darah
hati menthok,Jeroan / darah
hati merpati,Jeroan / darah
hati sapi,Jeroan / darah
iso sapi mentah usus,Jeroan / darah
jangkrik,Non-halal / satwa liar
jantung ayam mentah,Tepung / bahan mentah
jantung itik,Jeroan / darah
jantung menthok,Jeroan / darah
jantung merpati,Jeroan / darah
jerohan ayam,Jeroan / darah
jerohan menthok,Jeroan / darah
kaldu ayam,Daging / ikan mentah (bukan hidangan)
kikil kambing mentah,Tepung / bahan mentah
kodok hijau,Non-halal / satwa liar
kuah daging kambing belu,Kuah saja / bukan hidangan utuh
kulit daging itik,Tepung / bahan mentah
laron,Non-halal / satwa liar
limfa ayam,Jeroan / darah
limfa sapi,Jeroan / darah
otak,Jeroan / darah
otak ayam,Jeroan / darah
rambak mentah,Tepung / bahan mentah
rempelo ayam,Jeroan / darah
rempelo burung,Jeroan / darah
rempelo itik,Jeroan / darah
rempelo menthok,Jeroan / darah
rempelo merpati,Jeroan / darah
semur daging ayam belu,Nama bukan nama menu
tawon muda (kangsen),Non-halal / satwa liar
bedhek,Daging / ikan mentah (bukan hidangan)
belut segar mentah,Tepung / bahan mentah
telur ikan lele,Bahan / topping / bukan hidangan utuh
telur ikan kating,Bahan / topping / bukan hidangan utuh
telur ikan gabus,Bahan / topping / bukan hidangan utuh
telur ikan luthok mentah,Tepung / bahan mentah
telur ikan bethik mentah,Tepung / bahan mentah
tepung ikan teri,Tepung / bahan mentah
terasi merah,Bumbu / rempah / penyedap
undur-undur,Non-halal / satwa liar
udang segar,Tepung / bahan mentah
udang kering,Daging / ikan mentah (bukan hidangan)
cakalang,Daging / ikan mentah (bukan hidangan)
cumi-cumi segar,Tepung / bahan mentah
hati ikan bojor,Jeroan / darah
ikan asin kering,nama sudah ada di dataset lama
ikan baleng segar,Tepung / bahan mentah
ikan bambangan,Daging / ikan mentah (bukan hidangan)
ikan bandeng,Daging / ikan mentah (bukan hidangan)
ikan banyara sedang mentah,Tepung / bahan mentah
ikan bawal,Daging / ikan mentah (bukan hidangan)
ikan belanak,Daging / ikan mentah (bukan hidangan)
ikan bethik,Daging / ikan mentah (bukan hidangan)
ikan bojor segar,Tepung / bahan mentah
ikan boso mentah,Tepung / bahan mentah
ikan dares mentah,Tepung / bahan mentah
ikan gabus kering,Daging / ikan mentah (bukan hidangan)
ikan gabus segar,Tepung / bahan mentah
ikan hiu,Daging / ikan mentah (bukan hidangan)
ikan jempol,Daging / ikan mentah (bukan hidangan)
ikan juwi,Daging / ikan mentah (bukan hidangan)
ikan kacangan,Daging / ikan mentah (bukan hidangan)
ikan kacap,Daging / ikan mentah (bukan hidangan)
ikan kakap,Daging / ikan mentah (bukan hidangan)
ikan kating,Daging / ikan mentah (bukan hidangan)
ikan kembung,Daging / ikan mentah (bukan hidangan)
ikan kiper mentah,Tepung / bahan mentah
ikan kuah rebus belu,Nama bukan nama menu
ikan lawes,Daging / ikan mentah (bukan hidangan)
ikan layang,Daging / ikan mentah (bukan hidangan)
ikan lele,Daging / ikan mentah (bukan hidangan)
ikan lele dumbo,Daging / ikan mentah (bukan hidangan)
ikan lemuru,Daging / ikan mentah (bukan hidangan)
ikan lukas mentah,Tepung / bahan mentah
ikan luthok,Daging / ikan mentah (bukan hidangan)
ikan mas goreng,nama sudah ada di dataset lama
ikan mas pepes,nama sudah ada di dataset lama
ikan mas segar,Tepung / bahan mentah
ikan merah kecil,Daging / ikan mentah (bukan hidangan)
ikan moto botor,Daging / ikan mentah (bukan hidangan)
ikan mujair dendeng mentah,Tepung / bahan mentah
ikan mujair segar,Tepung / bahan mentah
ikan muntreng segar,Tepung / bahan mentah
ikan pe,Daging / ikan mentah (bukan hidangan)
ikan peda banjar,Daging / ikan mentah (bukan hidangan)
ikan pepetek,Daging / ikan mentah (bukan hidangan)
ikan rebon kering,Daging / ikan mentah (bukan hidangan)
ikan rebon segar,Tepung / bahan mentah
ikan salem segar,Tepung / bahan mentah
ikan sasi segar,Tepung / bahan mentah
ikan segar,Tepung / bahan mentah
ikan selar kering,Daging / ikan mentah (bukan hidangan)
ikan selar segar,Tepung / bahan mentah
ikan sepat kering,Daging / ikan mentah (bukan hidangan)
ikan sepat segar,Tepung / bahan mentah
ikan sidat,Daging / ikan mentah (bukan hidangan)
